id	control_rep1	control_rep2
ENSMUSG00000000001	432	1716
ENSMUSG00000000003	0	0
ENSMUSG00000000028	7	6
ENSMUSG00000000031	0	0
ENSMUSG00000000037	27	17
ENSMUSG00000000049	26	35
ENSMUSG00000000056	212	430
ENSMUSG00000000058	419	605
ENSMUSG00000000078	147	460
ENSMUSG00000000085	218	662
ENSMUSG00000000088	980	2119
ENSMUSG00000000093	66	224
ENSMUSG00000000094	0	0
ENSMUSG00000000103	0	0
ENSMUSG00000000120	0	0
ENSMUSG00000000125	0	0
ENSMUSG00000000126	11	26
ENSMUSG00000000127	46	69
ENSMUSG00000000131	524	857
ENSMUSG00000000134	102	208
ENSMUSG00000000142	1	4
ENSMUSG00000000148	38	253
ENSMUSG00000000149	343	1035
ENSMUSG00000000154	1984	4280
ENSMUSG00000000157	136	78
ENSMUSG00000000159	343	435
ENSMUSG00000000167	23	96
ENSMUSG00000000168	891	2628
ENSMUSG00000000171	1090	2289
ENSMUSG00000000182	0	0
ENSMUSG00000000183	0	0
ENSMUSG00000000184	95	132
ENSMUSG00000000194	229	573
ENSMUSG00000000197	14	10
ENSMUSG00000000202	0	0
ENSMUSG00000000204	0	0
ENSMUSG00000000214	0	0
ENSMUSG00000000215	0	0
ENSMUSG00000000216	282	641
ENSMUSG00000000223	0	0
ENSMUSG00000000244	0	1
ENSMUSG00000000247	0	0
ENSMUSG00000000248	0	3
ENSMUSG00000000253	80	205
ENSMUSG00000000263	0	0
ENSMUSG00000000266	202	736
ENSMUSG00000000275	637	1519
ENSMUSG00000000276	57	176
ENSMUSG00000000278	624	1221
ENSMUSG00000000282	110	435
ENSMUSG00000000290	4	44
ENSMUSG00000000295	28	25
ENSMUSG00000000296	39	134
ENSMUSG00000000301	0	0
ENSMUSG00000000303	552	2124
ENSMUSG00000000305	7	2
ENSMUSG00000000308	80	117
ENSMUSG00000000317	22	41
ENSMUSG00000000318	0	0
ENSMUSG00000000320	33	50
ENSMUSG00000000325	0	1
ENSMUSG00000000326	0	0
ENSMUSG00000000339	50	116
ENSMUSG00000000340	654	1118
ENSMUSG00000000346	2570	12681
ENSMUSG00000000355	201	514
ENSMUSG00000000359	35	117
ENSMUSG00000000365	0	0
ENSMUSG00000000374	452	2018
ENSMUSG00000000378	42	35
ENSMUSG00000000381	0	0
ENSMUSG00000000384	141	1304
ENSMUSG00000000385	455	1557
ENSMUSG00000000386	0	22
ENSMUSG00000000392	6	5
ENSMUSG00000000394	2	0
ENSMUSG00000000399	406	1100
ENSMUSG00000000402	93	564
ENSMUSG00000000409	0	1
ENSMUSG00000000411	0	0
ENSMUSG00000000416	222	390
ENSMUSG00000000420	1065	2331
ENSMUSG00000000435	0	0
ENSMUSG00000000439	59	179
ENSMUSG00000000440	17	23
ENSMUSG00000000441	428	754
ENSMUSG00000000486	25	15
ENSMUSG00000000489	39	5206
ENSMUSG00000000530	54	124
ENSMUSG00000000531	6	23
ENSMUSG00000000532	193	1013
ENSMUSG00000000538	871	2045
ENSMUSG00000000544	0	1
ENSMUSG00000000552	4	49
ENSMUSG00000000555	54	99
ENSMUSG00000000560	0	0
ENSMUSG00000000561	77	209
ENSMUSG00000000562	0	0
ENSMUSG00000000563	2237	3687
ENSMUSG00000000567	10	2
