ENSMUST00000193812,ENSMUSG00000102693
ENSMUST00000082908,ENSMUSG00000064842
ENSMUST00000162897,ENSMUSG00000051951
ENSMUST00000159265,ENSMUSG00000051951
ENSMUST00000070533,ENSMUSG00000051951
ENSMUST00000192857,ENSMUSG00000102851
ENSMUST00000195335,ENSMUSG00000103377
ENSMUST00000192336,ENSMUSG00000104017
ENSMUST00000194099,ENSMUSG00000103025
ENSMUST00000161581,ENSMUSG00000089699
ENSMUST00000192973,ENSMUSG00000103201
ENSMUST00000192183,ENSMUSG00000103147
ENSMUST00000195166,ENSMUSG00000103161
ENSMUST00000192692,ENSMUSG00000102331
ENSMUST00000193244,ENSMUSG00000102348
ENSMUST00000194454,ENSMUSG00000102592
ENSMUST00000157708,ENSMUSG00000088333
ENSMUST00000194643,ENSMUSG00000102343
ENSMUST00000192427,ENSMUSG00000102343
ENSMUST00000208660,ENSMUSG00000025900
ENSMUST00000208793,ENSMUSG00000025900
ENSMUST00000027032,ENSMUSG00000025900
ENSMUST00000195384,ENSMUSG00000102948
ENSMUST00000194992,ENSMUSG00000109048
ENSMUST00000194382,ENSMUSG00000104123
ENSMUST00000027035,ENSMUSG00000025902
ENSMUST00000195555,ENSMUSG00000025902
ENSMUST00000192650,ENSMUSG00000025902
ENSMUST00000116652,ENSMUSG00000025902
ENSMUST00000192505,ENSMUSG00000025902
ENSMUST00000191647,ENSMUSG00000025902
ENSMUST00000191939,ENSMUSG00000025902
ENSMUST00000192913,ENSMUSG00000025902
ENSMUST00000193450,ENSMUSG00000104238
ENSMUST00000194935,ENSMUSG00000104238
ENSMUST00000195361,ENSMUSG00000102269
ENSMUST00000180019,ENSMUSG00000096126
ENSMUST00000193889,ENSMUSG00000103003
ENSMUST00000195771,ENSMUSG00000104328
ENSMUST00000192738,ENSMUSG00000102735
ENSMUST00000182774,ENSMUSG00000098104
ENSMUST00000193443,ENSMUSG00000102175
ENSMUST00000157375,ENSMUSG00000088000
ENSMUST00000195671,ENSMUSG00000103265
ENSMUST00000193658,ENSMUSG00000103922
ENSMUST00000130201,ENSMUSG00000033845
ENSMUST00000156816,ENSMUSG00000033845
ENSMUST00000045689,ENSMUSG00000033845
ENSMUST00000115538,ENSMUSG00000033845
ENSMUST00000192286,ENSMUSG00000033845
ENSMUST00000146665,ENSMUSG00000033845
ENSMUST00000132625,ENSMUSG00000033845
ENSMUST00000195445,ENSMUSG00000102275
ENSMUST00000134384,ENSMUSG00000025903
ENSMUST00000027036,ENSMUSG00000025903
ENSMUST00000150971,ENSMUSG00000025903
ENSMUST00000119612,ENSMUSG00000025903
ENSMUST00000137887,ENSMUSG00000025903
ENSMUST00000115529,ENSMUSG00000025903
ENSMUST00000131119,ENSMUSG00000025903
ENSMUST00000141278,ENSMUSG00000025903
ENSMUST00000155020,ENSMUSG00000104217
ENSMUST00000081551,ENSMUSG00000033813
ENSMUST00000165720,ENSMUSG00000033813
ENSMUST00000078030,ENSMUSG00000062588
ENSMUST00000194052,ENSMUSG00000103280
ENSMUST00000002533,ENSMUSG00000002459
ENSMUST00000118000,ENSMUSG00000002459
ENSMUST00000119256,ENSMUSG00000002459
ENSMUST00000170566,ENSMUSG00000002459
ENSMUST00000147158,ENSMUSG00000002459
ENSMUST00000156289,ENSMUSG00000002459
ENSMUST00000133521,ENSMUSG00000002459
ENSMUST00000168963,ENSMUSG00000091305
ENSMUST00000194114,ENSMUSG00000102653
ENSMUST00000144339,ENSMUSG00000085623
ENSMUST00000169520,ENSMUSG00000091665
ENSMUST00000192847,ENSMUSG00000033793
ENSMUST00000044369,ENSMUSG00000033793
ENSMUST00000194676,ENSMUSG00000033793
ENSMUST00000194301,ENSMUSG00000033793
ENSMUST00000194978,ENSMUSG00000033793
ENSMUST00000192029,ENSMUSG00000033793
ENSMUST00000192698,ENSMUSG00000033793
ENSMUST00000192142,ENSMUSG00000033793
ENSMUST00000193351,ENSMUSG00000104352
